MATERIA,UNIDAD,CODIGO,NOMBRE DE LA PRACTICA
Física,Magnitudes y unidades,FISVEC003,Clases de vectores
Física,Magnitudes y unidades,FISVEC001,Suma de vectores - Rescate en altamar
Física,Magnitudes y unidades,FISVEC002,Resta de vectores - Fuerzas en un puente
Física,Cinemática,FISMRU003,Gráficas de posición contra tiempo
Física,Cinemática,FISMRU004,Gráficas de velocidad contra tiempo
Física,Cinemática,FISMRU001,Movimiento rectilíneo uniforme M.R.U
Física,Cinemática,FISMRU002,Movimiento rectilíneo uniformemente acelerado M.R.U.A
Física,Cinemática,FISS3D004,Movimiento en el plano
Física,Cinemática,FISS3D001,Tiro parabólico - Reto lanzamiento baloncesto
Física,Dinámica y estática,FISVEC004,Resultante de dos fuerzas
Física,Dinámica y estática,FISMRU005,Fuerza de fricción
Física,Dinámica y estática,FISNEW001,Comprobación segunda ley de Newton - Desplazamiento de un móvil.
Física,Dinámica y estática,FISNEW002,Segunda ley de Newton - Elevando una carga
Física,Dinámica y estática,FISEQU003,La carreta como máquina simple
Física,Dinámica y estática,FISEQU001,Momento de una fuerza
Física,Dinámica y estática,FISEQU002,Equilibrio
Física,Dinámica y estática,FISNEW003,Gravedad
Física,Trabajo energía y potencia,FISTEP002,Trabajo y potencia en un elevador de carga
Física,Trabajo energía y potencia,FISTEP003,Trabajo energía y potencia en una montaña rusa
Física,Trabajo energía y potencia,FISTEP001,Fuentes y transformaciones de la energía
Física,Fluidos,FISS3D005,Principio de Pascal
Física,Fluidos,FISS3D002,Prensa hidráhulica
Física,Termodinámica,FISTER001,Escalas de temperatura
Física,Termodinámica,FISTER002,Calor específico y capacidad térmica
Física,Termodinámica,FISTER003,Calor latente
Física,Movimiento armónico simple,FISS3D006,La energía en el movimiento armónico simple
Física,Movimiento armónico simple,FISS3D007,Leyes del péndulo simple
Física,Movimiento armónico simple,FISS3D003,Movimiento pendular - Reto reloj de péndulo
Física,Ondas,FISOND001,Produciendo una onda de radio (Ondas electromagnéticas)
Física,Ondas,FISOND002,Ondas de sonido (Ondas mecánicas)
Física,Ondas,FISOND003,Espectro electromagnético
Física,Óptica,FISOND004,Luz visible
Física,Óptica,FISOPT001,Dispersión y síntesis de la luz
Física,Óptica,FISOPT002,Espejo cóncavo
Física,Óptica,FISOPT004,Espejos esféricos
Física,Óptica,FISOPT003,Lente convergente
Física,Óptica,FISOPT005,Lentes
Física,Electricidad y electromagnetismo,FISELE004,Magnitudes eléctricas
Física,Electricidad y electromagnetismo,FISELE001,Circuito serie
Física,Electricidad y electromagnetismo,FISELE002,Circuito paralelo
Física,Electricidad y electromagnetismo,FISELE003,Circuito mixto
Física,Electricidad y electromagnetismo,FISELE005,Resistencia equivalente
Física,Electricidad y electromagnetismo,FISELE006,Ley de los voltajes
Física,Electricidad y electromagnetismo,FISELE007,Ley de las corrientes
